frequency,energy
0.0,1539.5404013081697
0.004167361226871146,7.982538248089579
0.008334722453742291,2.942805492456275
0.012502083680613438,1.1586325517717253
0.016669444907484583,0.48637514278797905
0.020836806134355727,0.5113053138833579
0.025004167361226876,0.38575714234289366
0.02917152858809802,0.23442446531205152
0.033338889814969165,0.1354966123045339
0.03750625104184031,0.11541840914631661
0.041673612268711455,0.08488566356806006
0.0458409734955826,0.06544314813847837
0.05000833472245375,0.045215331318242645
0.05417569594932489,0.044928710723985764
0.05834305717619604,0.040718101871134955
0.06251041840306719,0.03107674937603569
0.06667777962993833,0.027194524810927115
0.07084514085680947,0.023621809683062076
0.07501250208368063,0.01745322747231201
0.07917986331055177,0.013547680693628184
0.08334722453742291,0.011749232847759694
0.08751458576429406,0.010047106993860333
0.0916819469911652,0.00887629836456632
0.09584930821803635,0.008312436153605373
0.1000166694449075,0.0079268352849531
0.10418403067177864,0.0075993516961332585
0.10835139189864978,0.007069349059638837
0.11251875312552093,0.006538723230231803
0.11668611435239208,0.006117817524243941
0.12085347557926322,0.005697728360324943
0.12502083680613438,0.005328798541401874
0.12918819803300552,0.005000249059320904
0.13335555925987666,0.004660550735462033
0.1375229204867478,0.00435104392959586
0.14169028171361894,0.004059767490070052
0.14585764294049008,0.0037739665304366826
0.15002500416736125,0.003535066811665219
0.1541923653942324,0.0033253003714889917
0.15835972662110354,0.003131387731702658
0.16252708784797468,0.0029722486107746134
0.16669444907484582,0.002828150475973005
0.17086181030171696,0.0026741211186125137
0.17502917152858813,0.002534023421806387
0.17919653275545927,0.0024102987664587805
0.1833638939823304,0.002288468591679686
0.18753125520920155,0.002178869139167824
0.1916986164360727,0.002085949174891563
0.19586597766294384,0.0019983219601845963
0.200033338889815,0.0019157732942409642
0.20420070011668615,0.001836106299933923
0.2083680613435573,0.0017627650204909671
0.21253542257042843,0.0016918206850273067
0.21670278379729957,0.0016213241497222924
0.2208701450241707,0.0015609270945747093
0.22503750625104185,0.0015043204849971516
0.22920486747791302,0.0014467189202686953
0.23337222870478416,0.0013971511762571557
0.2375395899316553,0.0013488791581296314
0.24170695115852645,0.0012998626827217302
0.2458743123853976,0.0012560193367115685
0.25004167361226876,0.0012132923305119977
0.25420903483913987,0.0011722733594946126
0.25837639606601104,0.0011341985049461536
0.26254375729288215,0.0010975722243530479
0.2667111185197533,0.0010633133428344405
0.2708784797466245,0.0010299736603575427
0.2750458409734956,0.0009978145561635378
0.2792132022003668,0.000968266155830036
0.2833805634272379,0.0009387554597118732
0.28754792465410905,0.0009109319342446479
0.29171528588098017,0.0008851802434044261
0.29588264710785134,0.0008597019623793837
0.3000500083347225,0.000836072814475805
0.3042173695615936,0.0008136589868170825
0.3083847307884648,0.0007915601158597333
0.3125520920153359,0.0007707280860840882
0.31671945324220707,0.0007506057198734629
0.32088681446907824,0.0007310510582708914
0.32505417569594935,0.0007123621211466282
0.3292215369228205,0.00069421794766389
0.33338889814969164,0.0006771313816599651
